,STS,NLI,left,right,left_num,right_num,id,left_lower,right_lower,left_strip,right_strip,left_strip_tokenized,right_strip_tokenized,left_strip_tokenized_noPunct,right_strip_tokenized_noPunct,left_POS_tags,right_POS_tags,left_strip_tokenized_noPunct_lemmat,right_strip_tokenized_noPunct_lemmat,left_strip_tokenized_noPunct_lemmat_noStopWords,right_strip_tokenized_noPunct_lemmat_noStopWords,left_strip_tokenized_noPunct_StopWords,right_strip_tokenized_noPunct_StopWords,jaccard_strip_tokenized,jaccard_strip_tokenized_noPunct_lemmat_noStopWords,jaccard_strip_tokenized_noPunct_lemmat,left_strip_tokenized_len,right_strip_tokenized_len,left-right,right-left,path_similarity,lch_similarity_nouns,lch_similarity_verbs,jcn_similarity_brown_nouns,jcn_similarity_brown_verbs,jcn_similarity_genesis_nouns,jcn_similarity_genesis_verbs,wup_similarity,path_similarity_root,lch_similarity_nouns_root,lch_similarity_verbs_root,wup_similarity_root,chunk1_maximum,chunk2_maximum,chunk1>chunk2,chunk2>chunk1,|chunk1-chunk2|,minimum_difference,maximum_difference
0,5,EQUI,at 91                         ,aged 91                       ,8 9,11 12,1,at 91                         ,aged 91                       ,at 91,aged 91,"['at', '91']","['aged', '91']","['at', '91']","['aged', '91']","('IN', 'CD')","('VBN', 'CD')","['at', '91']","['age', '91']",['91'],"['age', '91']",['at'],[],0.3333333333333333,0.5,0.3333333333333333,0.14285714285714285,0.14285714285714285,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0,6,0.0,1.0,0.3529411764705882,0.0,0.3529411764705882
1,5,EQUI,Former Nazi death camp guard Demjanjuk,John Demjanjuk convicted Nazi death camp guard,1 2 3 4 5 6,1 2 4 5 6 7 8,1,former nazi death camp guard demjanjuk,john demjanjuk convicted nazi death camp guard,former nazi death camp guard demjanjuk,john demjanjuk convicted nazi death camp guard,"['former', 'nazi', 'death', 'camp', 'guard', 'demjanjuk']","['john', 'demjanjuk', 'convicted', 'nazi', 'death', 'camp', 'guard']","['former', 'nazi', 'death', 'camp', 'guard', 'demjanjuk']","['john', 'demjanjuk', 'convicted', 'nazi', 'death', 'camp', 'guard']","('JJ', 'JJ', 'NN', 'NN', 'NN', 'NN')","('NN', 'NN', 'VBN', 'JJ', 'NN', 'NN', 'NN')","['former', 'nazi', 'death', 'camp', 'guard', 'demjanjuk']","['john', 'demjanjuk', 'convict', 'nazi', 'death', 'camp', 'guard']","['former', 'nazi', 'death', 'camp', 'guard', 'demjanjuk']","['john', 'demjanjuk', 'convict', 'nazi', 'death', 'camp', 'guard']",[],[],0.625,0.625,0.625,0.7142857142857142,0.8571428571428572,0.4,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11,14,0.0,1.0,0.1764705882352941,0.0,0.8235294117647058
2,3,FORW,Saudis                        ,Saudi Women                   ,1,1 2,2,saudis                        ,saudi women                   ,saudis,saudi women,['saudis'],"['saudi', 'women']",['saudis'],"['saudi', 'women']","('NN',)","('JJ', 'NNS')",['saudi'],"['saudi', 'woman']",['saudi'],"['saudi', 'woman']",[],[],0.0,0.5,0.5,0.0,0.14285714285714285,0.4,0.6,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,10,12,0.0,1.0,0.11764705882352941,0.0,0.7058823529411764
3,5,EQUI,in Olympics                   ,At Olympics                   ,7 8,6 7,2,in olympics                   ,at olympics                   ,in olympics,at olympics,"['in', 'olympics']","['at', 'olympics']","['in', 'olympics']","['at', 'olympics']","('IN', 'NNS')","('IN', 'NNS')","['in', 'olympics']","['at', 'olympics']",['olympics'],['olympics'],['in'],['at'],0.3333333333333333,1.0,0.3333333333333333,0.14285714285714285,0.14285714285714285,0.5,0.5,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,7,7,0.0,0.0,0.0,0.0,0.0
4,3,BACK,women                         ,Saudi Women                   ,4,1 2,2,women                         ,saudi women                   ,women,saudi women,['women'],"['saudi', 'women']",['women'],"['saudi', 'women']","('NNS',)","('JJ', 'NNS')",['woman'],"['saudi', 'woman']",['woman'],"['saudi', 'woman']",[],[],0.5,0.5,0.5,0.0,0.14285714285714285,0.4,0.6,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,12,12,0.0,0.0,0.0,0.0,0.7058823529411764
5,5,EQUI,to permit                     ,Allowed                       ,2 3,3,2,to permit                     ,allowed                       ,to permit,allowed,"['to', 'permit']",['allowed'],"['to', 'permit']",['allowed'],"('TO', 'VB')","('VBN',)","['to', 'permit']",['allow'],['permit'],['allow'],['to'],[],0.0,0.0,0.0,0.14285714285714285,0.0,0.6,0.4,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,17,6,1.0,0.0,0.6470588235294118,0.0,1.0
6,4,FORW,US drone strike               ,Drone strike                  ,1 2 3,1 2,3,us drone strike               ,drone strike                  ,us drone strike,drone strike,"['us', 'drone', 'strike']","['drone', 'strike']","['us', 'drone', 'strike']","['drone', 'strike']","('PRP', 'VBP', 'NN')","('NN', 'NN')","['u', 'drone', 'strike']","['drone', 'strike']","['u', 'drone', 'strike']","['drone', 'strike']",[],[],0.6666666666666666,0.6666666666666666,0.6666666666666666,0.2857142857142857,0.14285714285714285,0.6,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12,12,0.0,0.0,0.0,0.0,0.7058823529411764
7,4,FORW,5 militants                   ,four suspected militants      ,5 6,4 5 6,3,5 militants                   ,four suspected militants      ,5 militants,four suspected militants,"['5', 'militants']","['four', 'suspected', 'militants']","['5', 'militants']","['four', 'suspected', 'militants']","('CD', 'NNS')","('CD', 'VBD', 'NNS')","['5', 'militant']","['four', 'suspect', 'militant']","['5', 'militant']","['four', 'suspect', 'militant']",[],[],0.25,0.25,0.25,0.14285714285714285,0.2857142857142857,0.4,0.6,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,9,10,0.0,1.0,0.058823529411764705,0.0,0.5882352941176471
8,2,REL,Syria peace plan conditions   ,Syria peace                   ,1 2 3 4,1 2,4,syria peace plan conditions   ,syria peace                   ,syria peace plan conditions,syria peace,"['syria', 'peace', 'plan', 'conditions']","['syria', 'peace']","['syria', 'peace', 'plan', 'conditions']","['syria', 'peace']","('NNS', 'NN', 'NN', 'NNS')","('NNS', 'NN')","['syria', 'peace', 'plan', 'condition']","['syria', 'peace']","['syria', 'peace', 'plan', 'condition']","['syria', 'peace']",[],[],0.5,0.5,0.5,0.42857142857142855,0.14285714285714285,0.7,0.3,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,9,9,0.0,0.0,0.0,0.0,0.47058823529411764
9,4,SIMI,Syrian regime                 ,Syria                         ,1 2,1,5,syrian regime                 ,syria                         ,syrian regime,syria,"['syrian', 'regime']",['syria'],"['syrian', 'regime']",['syria'],"('JJ', 'NN')","('NNS',)","['syrian', 'regime']",['syria'],"['syrian', 'regime']",['syria'],[],[],0.0,0.0,0.0,0.14285714285714285,0.0,0.6,0.4,0.07142857142857142,0.2745031419918959,0.0,4.889815197879218e-302,0.0,6.582756906575716e-302,0.0,0.3157894736842105,0.08333333333333333,0.2745031419918959,0.0,0.3157894736842105,9,9,0.0,0.0,0.0,0.0,0.5294117647058824
