,STS,NLI,left,right,left_num,right_num,id,left_lower,right_lower,left_strip,right_strip,left_strip_tokenized,right_strip_tokenized,left_strip_tokenized_noPunct,right_strip_tokenized_noPunct,left_POS_tags,right_POS_tags,left_strip_tokenized_noPunct_lemmat,right_strip_tokenized_noPunct_lemmat,left_strip_tokenized_noPunct_lemmat_noStopWords,right_strip_tokenized_noPunct_lemmat_noStopWords,left_strip_tokenized_noPunct_StopWords,right_strip_tokenized_noPunct_StopWords,jaccard_strip_tokenized,jaccard_strip_tokenized_noPunct_lemmat_noStopWords,jacckard_strip_tokenized_noPunct_lemmat,left_strip_tokenized_len,right_strip_tokenized_len,left-right,right-left,path_similarity,lch_similarity_nouns,lch_similarity_verbs,jcn_similarity_brown_nouns,jcn_similarity_brown_verbs,jcn_similarity_genesis_nouns,jcn_similarity_genesis_verbs,wup_similarity,path_similarity_root,lch_similarity_nouns_root,lch_similarity_verbs_root,wup_similarity_root,chunk1_maximum,chunk2_maximum,chunk1>chunk2,chunk2>chunk1,|chunk1-chunk2|,minimum_difference,maximum_difference
0,4,BACK,A cat                         ,A black and white cat         ,1 2,1 2 3 4 5,1,a cat                         ,a black and white cat         ,a cat,a black and white cat,"['a', 'cat']","['a', 'black', 'and', 'white', 'cat']","['a', 'cat']","['a', 'black', 'and', 'white', 'cat']","('DT', 'NN')","('DT', 'JJ', 'CC', 'JJ', 'NN')","['a', 'cat']","['a', 'black', 'and', 'white', 'cat']",['cat'],"['black', 'white', 'cat']",['a'],"['a', 'and']",0.4,0.3333333333333333,0.4,0.125,0.2857142857142857,0.4285714285714285,0.5714285714285714,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13,13,0.0,0.0,0.0,0.0,0.7647058823529411
1,4,BACK,in the water                  ,on the sea                    ,4 5 6,4 5 6,2,in the water                  ,on the sea                    ,in the water,on the sea,"['in', 'the', 'water']","['on', 'the', 'sea']","['in', 'the', 'water']","['on', 'the', 'sea']","('IN', 'DT', 'NN')","('IN', 'DT', 'NN')","['in', 'the', 'water']","['on', 'the', 'sea']",['water'],['sea'],"['in', 'the']","['on', 'the']",0.2,0.0,0.2,0.25,0.14285714285714285,0.6428571428571428,0.3571428571428571,0.5,0.8094485875732267,0.0,2.8706786646272022e-301,0.0,2.6092565633304325e-301,0.0,0.8888888888888888,0.5,0.8094485875732267,0.0,0.8888888888888888,9,6,1.0,0.0,0.25,0.0,0.29411764705882354
2,5,EQUI,in a station                  ,in the station                ,5 6 7,5 6 7,3,in a station                  ,in the station                ,in a station,in the station,"['in', 'a', 'station']","['in', 'the', 'station']","['in', 'a', 'station']","['in', 'the', 'station']","('IN', 'DT', 'NN')","('IN', 'DT', 'NN')","['in', 'a', 'station']","['in', 'the', 'station']",['station'],['station'],"['in', 'a']","['in', 'the']",0.5,1.0,0.5,0.25,0.14285714285714285,0.6428571428571428,0.3571428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,7,0.0,0.0,0.0,0.0,0.3529411764705882
3,5,EQUI,An Apple computer             ,A Macintosh computer          ,1 2 3,1 2 3,4,an apple computer             ,a macintosh computer          ,an apple computer,a macintosh computer,"['an', 'apple', 'computer']","['a', 'macintosh', 'computer']","['an', 'apple', 'computer']","['a', 'macintosh', 'computer']","('DT', 'NN', 'NN')","('DT', 'NN', 'NN')","['an', 'apple', 'computer']","['a', 'macintosh', 'computer']","['apple', 'computer']","['macintosh', 'computer']",['an'],['a'],0.2,0.3333333333333333,0.2,0.25,0.14285714285714285,0.6428571428571428,0.3571428571428571,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,13,12,1.0,0.0,0.08333333333333333,0.0,0.4117647058823529
4,4,BACK,A woman                       ,A young girl                  ,1 2,1 2 3,6,a woman                       ,a young girl                  ,a woman,a young girl,"['a', 'woman']","['a', 'young', 'girl']","['a', 'woman']","['a', 'young', 'girl']","('DT', 'NN')","('DT', 'JJ', 'NN')","['a', 'woman']","['a', 'young', 'girl']",['woman'],"['young', 'girl']",['a'],['a'],0.25,0.0,0.25,0.125,0.14285714285714285,0.5714285714285714,0.4285714285714285,0.5,0.8094485875732267,0.0,7.772657845647459e-301,0.0,5.469115152894238e-301,0.0,0.7058823529411765,0.5,0.8094485875732267,0.0,0.7058823529411765,12,12,0.0,0.0,0.0,0.0,0.7058823529411764
5,4,FORW,with a baby in his lap        ,holding a baby                ,4 5 6 7 8 9,7 8 9,7,with a baby in his lap        ,holding a baby                ,with a baby in his lap,holding a baby,"['with', 'a', 'baby', 'in', 'his', 'lap']","['holding', 'a', 'baby']","['with', 'a', 'baby', 'in', 'his', 'lap']","['holding', 'a', 'baby']","('IN', 'DT', 'NN', 'IN', 'PRP$', 'NN')","('VBG', 'DT', 'NN')","['with', 'a', 'baby', 'in', 'his', 'lap']","['hold', 'a', 'baby']","['baby', 'lap']","['hold', 'baby']","['with', 'a', 'in', 'his']",['a'],0.2857142857142857,0.3333333333333333,0.2857142857142857,0.625,0.14285714285714285,0.8571428571428571,0.14285714285714282,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,10,0.0,0.0,0.0,0.0,0.5882352941176471
6,2,SIMI,in front of yellow flowers    ,in a field                    ,5 6 7 8 9,5 6 7,8,in front of yellow flowers    ,in a field                    ,in front of yellow flowers,in a field,"['in', 'front', 'of', 'yellow', 'flowers']","['in', 'a', 'field']","['in', 'front', 'of', 'yellow', 'flowers']","['in', 'a', 'field']","('IN', 'NN', 'IN', 'JJ', 'NNS')","('IN', 'DT', 'NN')","['in', 'front', 'of', 'yellow', 'flower']","['in', 'a', 'field']","['front', 'yellow', 'flower']",['field'],"['in', 'of']","['in', 'a']",0.14285714285714285,0.0,0.14285714285714285,0.5,0.14285714285714285,0.7857142857142856,0.21428571428571425,0.5,0.8094485875732267,0.0,3.721173828440708e-301,6.092119863648426e-302,2.2521324089788704e-301,6.423552180362937e-302,0.9333333333333333,0.5,0.8094485875732267,0.4027463194086353,0.9333333333333333,10,9,1.0,0.0,0.08333333333333333,0.0,0.5294117647058824
7,5,EQUI,in field                     ,in a field                    ,3 4,4 5 6,9,in field                     ,in a field                    ,in field,in a field,"['in', 'field']","['in', 'a', 'field']","['in', 'field']","['in', 'a', 'field']","('IN', 'NN')","('IN', 'DT', 'NN')","['in', 'field']","['in', 'a', 'field']",['field'],['field'],['in'],"['in', 'a']",0.6666666666666666,1.0,0.6666666666666666,0.125,0.14285714285714285,0.5714285714285714,0.4285714285714285,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9,9,0.0,0.0,0.0,0.0,0.4117647058823529
8,5,EQUI,sheep                         ,A sheep                       ,1,1 2,9,sheep                         ,a sheep                       ,sheep,a sheep,['sheep'],"['a', 'sheep']",['sheep'],"['a', 'sheep']","('NN',)","('DT', 'NN')",['sheep'],"['a', 'sheep']",['sheep'],['sheep'],[],['a'],0.5,1.0,0.5,0.0,0.07142857142857142,0.5714285714285714,0.4285714285714285,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,15,15,0.0,0.0,0.0,0.0,0.4117647058823529
9,3,BACK,in a field                    ,in a lush green field         ,6 7 8,5 6 7 8 9,10,in a field                    ,in a lush green field         ,in a field,in a lush green field,"['in', 'a', 'field']","['in', 'a', 'lush', 'green', 'field']","['in', 'a', 'field']","['in', 'a', 'lush', 'green', 'field']","('IN', 'DT', 'NN')","('IN', 'DT', 'JJ', 'JJ', 'NN')","['in', 'a', 'field']","['in', 'a', 'lush', 'green', 'field']",['field'],"['lush', 'green', 'field']","['in', 'a']","['in', 'a']",0.6,0.3333333333333333,0.6,0.25,0.2857142857142857,0.49999999999999994,0.49999999999999994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9,11,0.0,1.0,0.16666666666666666,0.0,0.5294117647058824
10,4,BACK,with food                     ,with food and beer            ,9 10,9 10 11 12,11,with food                     ,with food and beer            ,with food,with food and beer,"['with', 'food']","['with', 'food', 'and', 'beer']","['with', 'food']","['with', 'food', 'and', 'beer']","('IN', 'NN')","('IN', 'NN', 'CC', 'NN')","['with', 'food']","['with', 'food', 'and', 'beer']",['food'],"['food', 'beer']",['with'],"['with', 'and']",0.5,0.5,0.5,0.125,0.21428571428571427,0.49999999999999994,0.49999999999999994,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,5,10,0.0,1.0,0.41666666666666663,0.0,0.3529411764705882
11,4,FORW,in a lush green field         ,in a green field              ,5 6 7 8 9,4 5 6 7,12,in a lush green field         ,in a green field              ,in a lush green field,in a green field,"['in', 'a', 'lush', 'green', 'field']","['in', 'a', 'green', 'field']","['in', 'a', 'lush', 'green', 'field']","['in', 'a', 'green', 'field']","('IN', 'DT', 'JJ', 'JJ', 'NN')","('IN', 'DT', 'JJ', 'NN')","['in', 'a', 'lush', 'green', 'field']","['in', 'a', 'green', 'field']","['lush', 'green', 'field']","['green', 'field']","['in', 'a']","['in', 'a']",0.8,0.6666666666666666,0.8,0.5,0.21428571428571427,0.7142857142857142,0.2857142857142857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11,10,1.0,0.0,0.08333333333333333,0.0,0.6470588235294118
12,5,EQUI,in a kitchen                  ,in the kitchen                ,5 6 7,6 7 8,13,in a kitchen                  ,in the kitchen                ,in a kitchen,in the kitchen,"['in', 'a', 'kitchen']","['in', 'the', 'kitchen']","['in', 'a', 'kitchen']","['in', 'the', 'kitchen']","('IN', 'DT', 'NN')","('IN', 'DT', 'NN')","['in', 'a', 'kitchen']","['in', 'the', 'kitchen']",['kitchen'],['kitchen'],"['in', 'a']","['in', 'the']",0.5,1.0,0.5,0.25,0.14285714285714285,0.6428571428571428,0.3571428571428571,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,8,8,0.0,0.0,0.0,0.0,0.0
13,5,EQUI,An elderly woman              ,The old lady                  ,1 2 3,1 2 3,13,an elderly woman              ,the old lady                  ,an elderly woman,the old lady,"['an', 'elderly', 'woman']","['the', 'old', 'lady']","['an', 'elderly', 'woman']","['the', 'old', 'lady']","('DT', 'JJ', 'NN')","('DT', 'JJ', 'NN')","['an', 'elderly', 'woman']","['the', 'old', 'lady']","['elderly', 'woman']","['old', 'lady']",['an'],['the'],0.0,0.0,0.0,0.25,0.14285714285714285,0.6428571428571428,0.3571428571428571,0.5,0.8094485875732267,0.0,3.0071412439333578e-301,0.0,1.8258320335149408e-301,0.0,0.631578947368421,0.5,0.8094485875732267,0.0,0.631578947368421,12,10,1.0,0.0,0.16666666666666666,0.0,0.7058823529411764
14,4,SIMI,Red double decker bus         ,Double decker passenger bus   ,1 2 3 4,1 2 3 4,14,red double decker bus         ,double decker passenger bus   ,red double decker bus,double decker passenger bus,"['red', 'double', 'decker', 'bus']","['double', 'decker', 'passenger', 'bus']","['red', 'double', 'decker', 'bus']","['double', 'decker', 'passenger', 'bus']","('JJ', 'JJ', 'NN', 'NN')","('JJ', 'NN', 'NN', 'NN')","['red', 'double', 'decker', 'bus']","['double', 'decker', 'passenger', 'bus']","['red', 'double', 'decker', 'bus']","['double', 'decker', 'passenger', 'bus']",[],[],0.6,0.6,0.6,0.375,0.21428571428571427,0.6428571428571428,0.3571428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12,12,0.0,0.0,0.0,0.0,0.7058823529411764
15,2,REL,through the streets           ,with traffic                  ,6 7 8,6 7,14,through the streets           ,with traffic                  ,through the streets,with traffic,"['through', 'the', 'streets']","['with', 'traffic']","['through', 'the', 'streets']","['with', 'traffic']","('IN', 'DT', 'NNS')","('IN', 'NN')","['through', 'the', 'street']","['with', 'traffic']",['street'],['traffic'],"['through', 'the']",['with'],0.0,0.0,0.0,0.25,0.07142857142857142,0.7142857142857142,0.2857142857142857,0.125,0.4283457627196799,0.0,7.237239637559713e-302,0.0,0.0,0.0,0.46153846153846156,0.125,0.4283457627196799,0.0,0.46153846153846156,8,8,0.0,0.0,0.0,0.0,0.4117647058823529
16,5,EQUI,in pasture                    ,in a pasture                  ,6 7,6 7 8,16,in pasture                    ,in a pasture                  ,in pasture,in a pasture,"['in', 'pasture']","['in', 'a', 'pasture']","['in', 'pasture']","['in', 'a', 'pasture']","('IN', 'NN')","('IN', 'DT', 'NN')","['in', 'pasture']","['in', 'a', 'pasture']",['pasture'],['pasture'],['in'],"['in', 'a']",0.6666666666666666,1.0,0.6666666666666666,0.125,0.14285714285714285,0.5714285714285714,0.4285714285714285,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8,8,0.0,0.0,0.0,0.0,0.3529411764705882
17,4,FORW,Black cow                     ,Cow                           ,1 2,1,16,black cow                     ,cow                           ,black cow,cow,"['black', 'cow']",['cow'],"['black', 'cow']",['cow'],"('JJ', 'NN')","('NN',)","['black', 'cow']",['cow'],"['black', 'cow']",['cow'],[],[],0.5,0.5,0.5,0.125,0.0,0.7142857142857142,0.2857142857142857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17,17,0.0,0.0,0.0,0.0,1.0
18,4,FORW,under trees                   ,under the tree                ,4 5,3 4 5,16,under trees                   ,under the tree                ,under trees,under the tree,"['under', 'trees']","['under', 'the', 'tree']","['under', 'trees']","['under', 'the', 'tree']","('IN', 'NNS')","('IN', 'DT', 'NN')","['under', 'tree']","['under', 'the', 'tree']",['tree'],['tree'],['under'],"['under', 'the']",0.25,1.0,0.6666666666666666,0.125,0.14285714285714285,0.5714285714285714,0.4285714285714285,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,10,0.0,0.0,0.0,0.0,0.47058823529411764
